1,1002
2,856
3,670
4,380
5,272
6,300
7,143
8,217
9,214
10,129
11,76
12,120
13,101
14,103
15,70
16,93
17,56
18,67
19,27
20,71
21,43
22,32
23,28
24,22
25,23
26,16
27,17
28,17
29,19
30,17
31,17
32,18
33,17
34,16
35,17
36,16
37,21
38,17
39,17
40,15
41,16
42,18
43,16
44,17
45,16
46,17
47,19
48,17
49,16
50,16
1,774
2,168
3,70
4,33
5,26
6,17
7,18
8,18
9,17
10,19
11,18
12,17
13,18
14,17
15,16
16,16
17,17
18,17
19,17
20,17
21,17
22,15
23,16
24,16
25,16
26,16
27,15
28,17
29,17
30,16
31,16
32,15
33,17
34,17
35,17
36,16
37,16
38,16
39,17
40,16
41,16
42,16
43,15
44,16
45,16
46,17
47,18
48,16
49,16
50,16
1,578
2,38
3,17
4,16
5,16
6,16
7,18
8,16
9,15
10,17
11,16
12,17
13,15
14,15
15,17
16,18
17,16
18,16
19,16
20,15
21,16
22,16
23,18
24,16
25,17
26,16
27,17
28,16
29,17
30,17
31,17
32,16
33,17
34,17
35,16
36,16
37,17
38,17
39,16
40,17
41,16
42,17
43,15
44,16
45,17
46,16
47,16
48,16
49,17
50,16
